sample_name Run
SPY180170_01 1
SPY180170_02 1
SPY180170_03 1
SPY180170_04 1
SPY180170_05 1
SPY180170_06 1
SPY180170_07 1
SPY180170_08 1
SPY180170_09 1
SPY180170_10 1
SPY180170_11 1
SPY180170_12 1
SPY180171_01 1
SPY180171_02 1
SPY180171_03 1
SPY180171_04 1
SPY180171_05 1
SPY180171_06 1
SPY180171_07 1
SPY180171_08 1
SPY180171_09 1
SPY180171_10 1
SPY180171_11 1
SPY180171_12 1
SPY180172_01 1
SPY180172_02 1
SPY180172_03 1
SPY180172_04 1
SPY180172_05 1
SPY180172_06 1
SPY180172_07 1
SPY180172_08 1
SPY180172_09 1
SPY180172_10 1
SPY180172_11 1
SPY180172_12 1
SPY180173_01 1
SPY180173_02 1
SPY180173_03 1
SPY180173_04 1
SPY180173_05 1
SPY180173_06 1
SPY180173_07 1
SPY180173_08 1
SPY180173_09 1
SPY180173_10 1
SPY180173_11 1
SPY180173_12 1
SPY180174_01 1
SPY180174_02 1
SPY180174_03 1
SPY180174_04 1
SPY180174_05 1
SPY180174_06 1
SPY180174_07 1
SPY180174_08 1
SPY180174_09 1
SPY180174_10 1
SPY180174_11 1
SPY180174_12 1
SPY180175_01 1
SPY180175_02 1
SPY180175_03 1
SPY180175_04 1
SPY180175_05 1
SPY180175_06 1
SPY180175_07 1
SPY180175_08 1
SPY180175_09 1
SPY180175_10 1
SPY180175_11 1
SPY180175_12 1
SPY180176_01 1
SPY180176_02 1
SPY180176_03 1
SPY180176_04 1
SPY180176_05 1
SPY180176_06 1
SPY180176_07 1
SPY180176_08 1
SPY180176_09 1
SPY180176_10 1
SPY180176_11 1
SPY180176_12 1
SPY180177_01 1
SPY180177_02 1
SPY180177_03 1
SPY180177_04 1
SPY180177_05 1
SPY180177_06 1
SPY180177_07 1
SPY180177_08 1
SPY180177_09 1
SPY180177_10 1
SPY180177_11 1
SPY180177_12 1
SPY180178_01 1
SPY180178_02 1
SPY180178_03 1
SPY180178_04 1
SPY180178_05 1
SPY180178_06 1
SPY180178_07 1
SPY180178_08 1
SPY180178_09 1
SPY180178_10 1
SPY180178_11 1
SPY180178_12 1
SPY180179_01 1
SPY180179_02 1
SPY180179_03 1
SPY180179_04 1
SPY180179_05 1
SPY180179_06 1
SPY180179_07 1
SPY180179_08 1
SPY180179_09 1
SPY180179_10 1
SPY180179_11 1
SPY180179_12 1
SPY180180_01 1
SPY180180_02 1
SPY180180_03 1
SPY180180_04 1
SPY180180_05 1
SPY180180_06 1
SPY180180_07 1
SPY180180_08 1
SPY180180_09 1
SPY180180_10 1
SPY180180_11 1
SPY180180_12 1
SPY180181_01 1
SPY180181_02 1
SPY180181_03 1
SPY180181_04 1
SPY180181_05 1
SPY180181_06 1
SPY180181_07 1
SPY180181_08 1
SPY180181_09 1
SPY180181_10 1
SPY180181_11 1
SPY180181_12 1
SPY180182_01 1
SPY180182_02 1
SPY180182_03 1
SPY180182_04 1
SPY180182_05 1
SPY180182_06 1
SPY180182_07 1
SPY180182_08 1
SPY180182_09 1
SPY180182_10 1
SPY180182_11 1
SPY180182_12 1
SPY180183_01 1
SPY180183_02 1
SPY180183_03 1
SPY180183_04 1
SPY180183_05 1
SPY180183_06 1
SPY180183_07 1
SPY180183_08 1
SPY180183_09 1
SPY180183_10 1
SPY180183_11 1
SPY180183_12 1
SPY180184_01 1
SPY180184_02 1
SPY180184_03 1
SPY180184_04 1
SPY180184_05 1
SPY180184_06 1
SPY180184_07 1
SPY180184_08 1
SPY180184_09 1
SPY180184_10 1
SPY180184_11 1
SPY180184_12 1
SPY180185_01 1
SPY180185_02 1
SPY180185_03 1
SPY180185_04 1
SPY180185_05 1
SPY180185_06 1
SPY180185_07 1
SPY180185_08 1
SPY180185_09 1
SPY180185_10 1
SPY180185_11 1
SPY180185_12 1
SPY180186_01 1
SPY180186_02 1
SPY180186_03 1
SPY180186_04 1
SPY180186_05 1
SPY180186_06 1
SPY180186_07 1
SPY180186_08 1
SPY180186_09 1
SPY180186_10 1
SPY180186_11 1
SPY180186_12 1
SPY180187_01 1
SPY180187_02 1
SPY180187_03 1
SPY180187_04 1
SPY180187_05 1
SPY180187_06 1
SPY180187_07 1
SPY180187_08 1
SPY180187_09 1
SPY180187_10 1
SPY180187_11 1
SPY180187_12 1
SPY180188_01 1
SPY180188_02 1
SPY180188_03 1
SPY180188_04 1
SPY180188_05 1
SPY180188_06 1
SPY180188_07 1
SPY180188_08 1
SPY180188_09 1
SPY180188_10 1
SPY180188_11 1
SPY180188_12 1
SPY180189_01 1
SPY180189_02 1
SPY180189_03 1
SPY180189_04 1
SPY180189_05 1
SPY180189_06 1
SPY180189_07 1
SPY180189_08 1
SPY180189_09 1
SPY180189_10 1
SPY180189_11 1
SPY180189_12 1
CMET-3101_01 1
CMET-3101_02 1
CMET-3101_03 1
CMET-3101_04 1
CMET-3101_05 1
CMET-3101_06 1
CMET-3101_07 1
CMET-3101_08 1
CMET-3101_09 1
CMET-3101_10 1
CMET-3101_11 1
CMET-3101_12 1
CEXT-0102_01 1
CEXT-0102_02 1
CEXT-0102_03 1
CEXT-0102_04 1
CEXT-0102_05 1
CEXT-0102_06 1
CEXT-0102_07 1
CEXT-0102_08 1
CEXT-0102_09 1
CEXT-0102_10 1
CEXT-0102_11 1
CEXT-0102_12 1
SPY180970_01 2
SPY180970_02 2
SPY180970_03 2
SPY180970_04 2
SPY180970_05 2
SPY180970_06 2
SPY180970_07 2
SPY180970_08 2
SPY180970_09 2
SPY180970_10 2
SPY180970_11 2
SPY180970_12 2
SPY180971_01 2
SPY180971_02 2
SPY180971_03 2
SPY180971_04 2
SPY180971_05 2
SPY180971_06 2
SPY180971_07 2
SPY180971_08 2
SPY180971_09 2
SPY180971_10 2
SPY180971_11 2
SPY180971_12 2
SPY180972_01 2
SPY180972_02 2
SPY180972_03 2
SPY180972_04 2
SPY180972_05 2
SPY180972_06 2
SPY180972_07 2
SPY180972_08 2
SPY180972_09 2
SPY180972_10 2
SPY180972_11 2
SPY180972_12 2
SPY180973_01 2
SPY180973_02 2
SPY180973_03 2
SPY180973_04 2
SPY180973_05 2
SPY180973_06 2
SPY180973_07 2
SPY180973_08 2
SPY180973_09 2
SPY180973_10 2
SPY180973_11 2
SPY180973_12 2
SPY180974_01 2
SPY180974_02 2
SPY180974_03 2
SPY180974_04 2
SPY180974_05 2
SPY180974_06 2
SPY180974_07 2
SPY180974_08 2
SPY180974_09 2
SPY180974_10 2
SPY180974_11 2
SPY180974_12 2
SPY180975_01 2
SPY180975_02 2
SPY180975_03 2
SPY180975_04 2
SPY180975_05 2
SPY180975_06 2
SPY180975_07 2
SPY180975_08 2
SPY180975_09 2
SPY180975_10 2
SPY180975_11 2
SPY180975_12 2
CMET-3003_01 2
CMET-3003_02 2
CMET-3003_03 2
CMET-3003_04 2
CMET-3003_05 2
CMET-3003_06 2
CMET-3003_07 2
CMET-3003_08 2
CMET-3003_09 2
CMET-3003_10 2
CMET-3003_11 2
CMET-3003_12 2
SPY180976_01 2
SPY180976_02 2
SPY180976_03 2
SPY180976_04 2
SPY180976_05 2
SPY180976_06 2
SPY180976_07 2
SPY180976_08 2
SPY180976_09 2
SPY180976_10 2
SPY180976_11 2
SPY180976_12 2
SPY180977_01 2
SPY180977_02 2
SPY180977_03 2
SPY180977_04 2
SPY180977_05 2
SPY180977_06 2
SPY180977_07 2
SPY180977_08 2
SPY180977_09 2
SPY180977_10 2
SPY180977_11 2
SPY180977_12 2
SPY180978_01 2
SPY180978_02 2
SPY180978_03 2
SPY180978_04 2
SPY180978_05 2
SPY180978_06 2
SPY180978_07 2
SPY180978_08 2
SPY180978_09 2
SPY180978_10 2
SPY180978_11 2
SPY180978_12 2
SPY180979_01 2
SPY180979_02 2
SPY180979_03 2
SPY180979_04 2
SPY180979_05 2
SPY180979_06 2
SPY180979_07 2
SPY180979_08 2
SPY180979_09 2
SPY180979_10 2
SPY180979_11 2
SPY180979_12 2
SPY180980_01 2
SPY180980_02 2
SPY180980_03 2
SPY180980_04 2
SPY180980_05 2
SPY180980_06 2
SPY180980_07 2
SPY180980_08 2
SPY180980_09 2
SPY180980_10 2
SPY180980_11 2
SPY180980_12 2
SPY180981_01 2
SPY180981_02 2
SPY180981_03 2
SPY180981_04 2
SPY180981_05 2
SPY180981_06 2
SPY180981_07 2
SPY180981_08 2
SPY180981_09 2
SPY180981_10 2
SPY180981_11 2
SPY180981_12 2
SPY180982_01 2
SPY180982_02 2
SPY180982_03 2
SPY180982_04 2
SPY180982_05 2
SPY180982_06 2
SPY180982_07 2
SPY180982_08 2
SPY180982_09 2
SPY180982_10 2
SPY180982_11 2
SPY180982_12 2
SPY180983_01 2
SPY180983_02 2
SPY180983_03 2
SPY180983_04 2
SPY180983_05 2
SPY180983_06 2
SPY180983_07 2
SPY180983_08 2
SPY180983_09 2
SPY180983_10 2
SPY180983_11 2
SPY180983_12 2
SPY180984_01 2
SPY180984_02 2
SPY180984_03 2
SPY180984_04 2
SPY180984_05 2
SPY180984_06 2
SPY180984_07 2
SPY180984_08 2
SPY180984_09 2
SPY180984_10 2
SPY180984_11 2
SPY180984_12 2
SPY180985_01 2
SPY180985_02 2
SPY180985_03 2
SPY180985_04 2
SPY180985_05 2
SPY180985_06 2
SPY180985_07 2
SPY180985_08 2
SPY180985_09 2
SPY180985_10 2
SPY180985_11 2
SPY180985_12 2
SPY180986_01 2
SPY180986_02 2
SPY180986_03 2
SPY180986_04 2
SPY180986_05 2
SPY180986_06 2
SPY180986_07 2
SPY180986_08 2
SPY180986_09 2
SPY180986_10 2
SPY180986_11 2
SPY180986_12 2
SPY180987_01 2
SPY180987_02 2
SPY180987_03 2
SPY180987_04 2
SPY180987_05 2
SPY180987_06 2
SPY180987_07 2
SPY180987_08 2
SPY180987_09 2
SPY180987_10 2
SPY180987_11 2
SPY180987_12 2
SPY180988_01 2
SPY180988_02 2
SPY180988_03 2
SPY180988_04 2
SPY180988_05 2
SPY180988_06 2
SPY180988_07 2
SPY180988_08 2
SPY180988_09 2
SPY180988_10 2
SPY180988_11 2
SPY180988_12 2
SPY180989_01 2
SPY180989_02 2
SPY180989_03 2
SPY180989_04 2
SPY180989_05 2
SPY180989_06 2
SPY180989_07 2
SPY180989_08 2
SPY180989_09 2
SPY180989_10 2
SPY180989_11 2
SPY180989_12 2
SPY180990_01 2
SPY180990_02 2
SPY180990_03 2
SPY180990_04 2
SPY180990_05 2
SPY180990_06 2
SPY180990_07 2
SPY180990_08 2
SPY180990_09 2
SPY180990_10 2
SPY180990_11 2
SPY180990_12 2
SPY180991_01 2
SPY180991_02 2
SPY180991_03 2
SPY180991_04 2
SPY180991_05 2
SPY180991_06 2
SPY180991_07 2
SPY180991_08 2
SPY180991_09 2
SPY180991_10 2
SPY180991_11 2
SPY180991_12 2
SPY180992_01 2
SPY180992_02 2
SPY180992_03 2
SPY180992_04 2
SPY180992_05 2
SPY180992_06 2
SPY180992_07 2
SPY180992_08 2
SPY180992_09 2
SPY180992_10 2
SPY180992_11 2
SPY180992_12 2
SPY180993_01 2
SPY180993_02 2
SPY180993_03 2
SPY180993_04 2
SPY180993_05 2
SPY180993_06 2
SPY180993_07 2
SPY180993_08 2
SPY180993_09 2
SPY180993_10 2
SPY180993_11 2
SPY180993_12 2
SPY180994_01 2
SPY180994_02 2
SPY180994_03 2
SPY180994_04 2
SPY180994_05 2
SPY180994_06 2
SPY180994_07 2
SPY180994_08 2
SPY180994_09 2
SPY180994_10 2
SPY180994_11 2
SPY180994_12 2
SPY180995_01 2
SPY180995_02 2
SPY180995_03 2
SPY180995_04 2
SPY180995_05 2
SPY180995_06 2
SPY180995_07 2
SPY180995_08 2
SPY180995_09 2
SPY180995_10 2
SPY180995_11 2
SPY180995_12 2
SPY180996_01 2
SPY180996_02 2
SPY180996_03 2
SPY180996_04 2
SPY180996_05 2
SPY180996_06 2
SPY180996_07 2
SPY180996_08 2
SPY180996_09 2
SPY180996_10 2
SPY180996_11 2
SPY180996_12 2
SPY180997_01 2
SPY180997_02 2
SPY180997_03 2
SPY180997_04 2
SPY180997_05 2
SPY180997_06 2
SPY180997_07 2
