"","component","value","sd","percent"
"1","mean_alpha_station",29.0444055944056,11.7091995945865,21.8378989431621
"2","mean_beta_station",16.0336952861953,4.92214043470129,12.0554099896205
"3","mean_beta_site",27.3944444444444,20.2746230422707,20.5973266499582
"4","beta_province",61.4,0,46.1654135338346
