"","scale","total","turnover","nestedness"
"1","inter-region",0.726572528883184,0.503496503496504,0.22307602538668
"2","inter-site",0.601694915254237,0.419753086419753,0.181941828834484
"3","inter-site",NA,NA,NA
"4","inter-site",0.517482517482518,0.456692913385827,0.0607896040966907
"5","inter-site",0.800339126748622,0.632891660171473,0.167447466577149
"6","inter-site",0.583460949464012,0.444897959183673,0.138562990280339
"7","inter-station",0.625641025641026,0.376068376068376,0.24957264957265
"8","inter-station",0.743169398907104,0.641221374045801,0.101948024861302
"9","inter-station",0.410714285714286,0.307692307692308,0.103021978021978
"10","inter-station",0.603174603174603,0.285714285714286,0.317460317460317
"11","inter-station",0.542857142857143,0.272727272727273,0.27012987012987
"12","inter-station",0.926961226330027,0.826923076923077,0.10003814940695
"13","inter-station",0.770194113963682,0.708961141950833,0.0612329720128492
"14","inter-station",0.635294117647059,0.594771241830065,0.0405228758169935
"15","inter-station",0.726384364820847,0.674418604651163,0.0519657601696841
"16","inter-station",0.730434782608696,0.620408163265306,0.11002661934339
"17","inter-station",0.517241379310345,0.5,0.0172413793103448
"18","inter-station",0.551724137931034,0.434782608695652,0.116941529235382
"19","inter-station",0.567567567567568,0.428571428571429,0.138996138996139
"20","inter-station",0.601769911504425,0.457831325301205,0.14393858620322
"21","inter-station",0.551181102362205,0.4,0.151181102362205
"22","inter-station",0.612612612612613,0.494117647058824,0.118494965553789
"23","inter-station",0.552845528455285,0.382022471910112,0.170823056545172
"24","inter-station",0.763020833333333,0.65530303030303,0.107717803030303
"25","inter-station",0.810073452256034,0.71585557299843,0.0942178792576034
"26","inter-station",0.740645161290323,0.63254113345521,0.108104027835112
"27","inter-station",0.756345177664975,0.60655737704918,0.149787800615794
"28","inter-station",0.852313167259786,0.649789029535865,0.202524137723921
"29","inter-station",0.726241134751773,0.620825147347741,0.105415987404032
"30","inter-station",0.691192865105909,0.558213716108453,0.132979148997456
"31","inter-station",0.41958041958042,0.278260869565217,0.141319550015202
