"","scale","total","turnover","nestedness"
"1","inter-province",0.933852959764061,0.885191956124314,0.0486610036397471
"2","inter-site",0.761148904006047,0.603015075376884,0.158133828629162
"3","inter-site",NA,NA,NA
"4","inter-site",0.856444945509207,0.729078014184397,0.12736693132481
"5","inter-site",0.903084982537835,0.756043956043956,0.147041026493879
"6","inter-site",0.750546408276264,0.676615035889686,0.0739313723865776
"7","inter-station",0.712962962962963,0.54122621564482,0.171736747318143
"8","inter-station",0.900763358778626,0.87,0.030763358778626
"9","inter-station",0.643008474576271,0.543978349120433,0.0990301254558382
"10","inter-station",0.860869565217391,0.515151515151515,0.345718050065876
"11","inter-station",0.779187817258883,0.527173913043478,0.252013904215405
"12","inter-station",0.974358974358974,0.888888888888889,0.0854700854700855
"13","inter-station",0.86697247706422,0.768,0.0989724770642202
"14","inter-station",0.876460767946578,0.701612903225806,0.174847864720771
"15","inter-station",0.801470588235294,0.531791907514451,0.269678680720843
"16","inter-station",0.889825282631038,0.84535487593768,0.0444704066933577
"17","inter-station",0.780848329048843,0.678605089538172,0.102243239510672
"18","inter-station",0.917795422699673,0.872093023255814,0.0457023994438591
"19","inter-station",0.634146341463415,0.634146341463415,0
"20","inter-station",0.849673202614379,0.780952380952381,0.0687208216619981
"21","inter-station",0.79020979020979,0.6875,0.10270979020979
"22","inter-station",0.867010309278351,0.830486202365309,0.0365241069130417
"23","inter-station",0.71063829787234,0.653061224489796,0.0575770733825445
"24","inter-station",NA,NA,NA
"25","inter-station",0.80244399185336,0.782511210762332,0.0199327810910287
"26","inter-station",0.826216484607746,0.708818635607321,0.117397849000425
"27","inter-station",0.794690265486726,0.670454545454545,0.12423572003218
"28","inter-station",0.780847145488029,0.697969543147208,0.0828776023408214
"29","inter-station",0.902691511387164,0.851735015772871,0.0509564956142929
"30","inter-station",0.641409691629956,0.623496762257169,0.0179129293727867
"31","inter-station",0.790561164592627,0.708115183246073,0.0824459813465541
"32","inter-station",0.578871201157742,0.5344,0.0444712011577424
