"component","mean","sd"
"mean_alpha_station",6.05378219474841,0.0688665348033585
"mean_beta_station",5.80776840564751,0.0494448480077029
"mean_beta_site",14.8266446725135,0.0641334984715577
"beta_province",73.5928688377899,0.0958474774328246
