"component","mean","sd"
"mean_alpha_station",7.1617496488638,0.393971519086797
"mean_beta_station",7.69590229051203,0.457377909045474
"mean_beta_site",16.4088237611477,0.511906592550144
"beta_province",68.7335242994764,0.511808783591813
