"","component","value","sd","percent"
"1","mean_alpha_station",113.694871794872,76.5996148480643,5.37310358198827
"2","mean_beta_station",131.027962962963,71.5497111115824,6.19224777707764
"3","mean_beta_site",310.361111111111,278.828334229389,14.6673492963663
"4","beta_province",1565.6,0,73.9886578449905
