"component","value","sd","percent"
"mean_alpha_station",48.8996893150475,16.2822788111861,2.68975188751636
"mean_beta_station",65.0484880796487,58.4722367297105,3.57802464684536
"mean_beta_site",159.233799426041,173.65983109686,8.75873484191645
"beta_province",1536.04166666667,0,84.4907407407407
