code_spygen;code_explo;rep;date;station;site;region;country;project;sample_type;sample_method;time_start;time_end;duration_min;volume;depth;temperature;turbidity;habitat;habitat_type;filter;data_manager;gps_owner;comment;longitude_start_clean;latitude_start_clean;dist_to_coast..m.;dist_to_CT
SPY190624;MOI21;2;14/04/2019;juan_distance0;juan_de_nova;West_Indian;France;megafauna;transect;transect_aller_retour;09:04;09:34;30;30;0;NA;NA;marine;NA;0.2;Virginie Marques;megafauna;Distance decay;42.66956;-17.038661;2959;-10082.61
SPY190622;MOI22;1;14/04/2019;juan_distance1;juan_de_nova;West_Indian;France;megafauna;transect;transect_aller_retour;10:00;10:30;30;30;0;NA;NA;marine;NA;0.2;Virginie Marques;megafauna;Distance decay;42.67851;-17.05547;1810;-10081.6
SPY190628;MOI22;2;14/04/2019;juan_distance1;juan_de_nova;West_Indian;France;megafauna;transect;transect_aller_retour;10:00;10:30;30;30;0;NA;NA;marine;NA;0.2;Virginie Marques;megafauna;Distance decay;42.67851;-17.05547;1810;-10081.6
SPY190626;MOI23;1;14/04/2019;juan_distance2;juan_de_nova;West_Indian;France;megafauna;transect;transect_aller_retour;10:47;11:20;30;30;0;NA;NA;marine;NA;0.2;Virginie Marques;megafauna;Distance decay;42.66977;-17.03868;2937;-10082.58
SPY190614;MOI23;2;14/04/2019;juan_distance2;juan_de_nova;West_Indian;France;megafauna;transect;transect_aller_retour;10:47;11:20;30;30;0;NA;NA;marine;NA;0.2;Virginie Marques;megafauna;Distance decay;42.66977;-17.03868;2937;-10082.58
SPY190612;MOI24;1;14/04/2019;juan_distance3;juan_de_nova;West_Indian;France;megafauna;transect;transect_aller_retour;11:47;12:17;30;30;0;NA;NA;marine;NA;0.2;Virginie Marques;megafauna;Distance decay;42.67116;-17.05712;2646;-10082.38
SPY180783;MOI24;2;14/04/2019;juan_distance3;juan_de_nova;West_Indian;France;megafauna;transect;transect_aller_retour;11:47;12:17;30;30;0;NA;NA;marine;NA;0.2;Virginie Marques;megafauna;Distance decay;42.67116;-17.05712;2646;-10082.38
SPY181901;MOI31;1;16/04/2019;juan_2;juan_de_nova;West_Indian;France;megafauna;transect;transect_aller_retour;10:45;11:15;30;30;0;NA;NA;marine;NA;0.2;Virginie Marques;megafauna;NA;42.74781;-17.02874;3469;-10074.31
SPY190609;MOI31;2;16/04/2019;juan_2;juan_de_nova;West_Indian;France;megafauna;transect;transect_aller_retour;10:45;11:15;30;30;0;NA;NA;marine;NA;0.2;Virginie Marques;megafauna;NA;42.74781;-17.02874;3469;-10074.31
SPY190570;MOI34;1;20/04/2019;glorieuse;glorieuse;West_Indian;France;megafauna;transect;transect_aller_retour;NA;NA;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;NA;47.28334;-11.58652;2240;-9596.17
SPY190582;MOI34;2;20/04/2019;glorieuse;glorieuse;West_Indian;France;megafauna;transect;transect_aller_retour;NA;NA;30;30;0;NA;NA;marine;NA;0.2;Marco Andrello;megafauna;NA;47.28334;-11.58652;2240;-9596.17
