"code_spygen,""code_explo"",""rep"",""date"",""station"",""site_name"",""province"",""country"",""project"",""sample_type"",""sample_method"",""time_start"",""time_end"",""duration_min"",""volume"",""depth"",""temperature"",""turbidity"",""habitat"",""habitat_type"",""gps_start"",""latitude_start"",""longitude_start"",""gps_b"",""lat_gps_b"",""long_gps_b"",""gps_c"",""lat_gps_c"",""long_gps_c"",""gps_d"",""lat_gps_d"",""long_gps_d"",""gps_half_turn"",""latitude_turn"",""longitude_turn"",""gps_end"",""latitude_end"",""longitude_end"",""filter"",""data_manager"",""gps_owner"",""comment"",""site35"",""site30"",""site25"",""site20"",""site10"",""site5""";
"SPY181729,""YPVD01"",1,""29/06/2018"",""margarita_south_west"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""14:07"",""14:45"",""38"",40,""0"",NA,0,""marine"","""",""97"",""13.34043"",""-81.39829"","""","""","""","""","""","""","""","""","""",""98"",""13.31942"",""-81.38904"",""97"",""13.34043"",""-81.39829"",0.2,""JB Juhel"",""JB Juhel"",""1 cablage corrodé inutilisable. 1 seul replicat - phanérogames marines agglomérées autour du fil du plomb (et donc crépine)"",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181719,""YPVD01"",2,""30/06/2018"",""margarita_south_west"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""08:57"",""09:39"",""36"",40,""0"",NA,0,""marine"","""",""97"",""13.34043"",""-81.39829"","""","""","""","""","""","""","""","""","""",""98"",""13.31942"",""-81.38904"",""97"",""13.34043"",""-81.39829"",0.2,""JB Juhel"",""JB Juhel"",""phanérogames marines agglomérées autour du fil du plomb (et donc crépine)"",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181723,""YPVD02"",1,""30/06/2018"",""providencia_west"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""12:50"",""13:48"",""58"",40,""0"",NA,1,""marine"","""",""101"",""13.34393"",""-81.39777"","""","""","""","""","""","""","""","""","""",""102"",""13.34926"",""-81.39236"",""101"",""13.34393"",""-81.39777"",0.2,""JB Juhel"",""JB Juhel"",""phanérogames marines again"",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181734,""YPVD02"",2,""30/06/2018"",""providencia_west"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""12:50"",""13:48"",""58"",40,""0"",NA,1,""marine"","""",""101"",""13.34393"",""-81.39777"","""","""","""","""","""","""","""","""","""",""102"",""13.34926"",""-81.39236"",""101"",""13.34393"",""-81.39777"",0.2,""JB Juhel"",""JB Juhel"",""phanérogames marines again"",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181732,""YPVD03"",1,""01/07/2018"",""providencia_north_west"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:25"",""10:09"",""44"",40,""0"",NA,1,""marine"","""",""104"",""13.36786"",""-81.38864"","""","""","""","""","""","""","""","""","""",""105"",""13.39011"",""-81.38049"",""104"",""13.36786"",""-81.38864"",0.2,""JB Juhel"",""JB Juhel"",""phanérogames marines again - 9h57 pompe mise en mode forward sans intervention (reparamétrage)"",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181724,""YPVD03"",2,""01/07/2018"",""providencia_north_west"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:25"",""10:09"",""44"",40,""0"",NA,1,""marine"","""",""104"",""13.36786"",""-81.38864"","""","""","""","""","""","""","""","""","""",""105"",""13.39011"",""-81.38049"",""104"",""13.36786"",""-81.38864"",0.2,""JB Juhel"",""JB Juhel"",""phanérogames marines again"",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181721,""YPVD04"",1,""02/07/2018"",""catalina_north"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:10"",""09:50"",""40"",40,""0"",NA,0,""marine"","""",""108"",""13.39172"",""-81.38029"","""","""","""","""","""","""","""","""","""",""109"",""13.38386"",""-81.35956"",""108"",""13.39172"",""-81.38029"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site2""";
"SPY181730,""YPVD04"",2,""02/07/2018"",""catalina_north"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:10"",""09:50"",""40"",40,""0"",NA,0,""marine"","""",""108"",""13.39172"",""-81.38029"","""","""","""","""","""","""","""","""","""",""109"",""13.38386"",""-81.35956"",""108"",""13.39172"",""-81.38029"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site2""";
"SPY181725,""YPVD05"",1,""02/07/2018"",""providencia_north"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""10:06"",""10:50"",""44"",40,""0"",NA,0,""marine"","""",""110"",""13.38322"",""-81.35909"","""","""","""","""","""","""","""","""","""",""111"",""13.36224"",""-81.34910"",""110"",""13.38322"",""-81.35909"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site2""";
"SPY181733,""YPVD05"",2,""02/07/2018"",""providencia_north"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""10:06"",""10:50"",""44"",40,""0"",NA,0,""marine"","""",""110"",""13.38322"",""-81.35909"","""","""","""","""","""","""","""","""","""",""111"",""13.36224"",""-81.34910"",""110"",""13.38322"",""-81.35909"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site2""";
"SPY181718,""YPVD06"",1,""03/07/2018"",""providencia_east"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:42"",""10:13"",""31"",40,""0"",NA,1,""marine"","""",""113"",""13.36264"",""-81.34969"","""","""","""","""","""","""","""","""","""",""114"",""13.34073"",""-81.35573"",""113"",""13.36264"",""-81.34969"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site2""";
"SPY181727,""YPVD06"",2,""03/07/2018"",""providencia_east"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:42"",""10:13"",""31"",40,""0"",NA,1,""marine"","""",""113"",""13.36264"",""-81.34969"","""","""","""","""","""","""","""","""","""",""114"",""13.34073"",""-81.35573"",""113"",""13.36264"",""-81.34969"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site2""";
"SPY181726,""YPVD07"",1,""03/07/2018"",""providencia_south_east"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""10:30"",""11:00"",""30"",40,""0"",NA,1,""marine"","""",""115"",""13.34072"",""-81.35561"","""","""","""","""","""","""","""","""","""",""116"",""13.32539"",""-81.37273"",""115"",""13.34072"",""-81.35561"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site3""";
"SPY181731,""YPVD07"",2,""03/07/2018"",""providencia_south_east"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""10:30"",""11:00"",""30"",40,""0"",NA,1,""marine"","""",""115"",""13.34072"",""-81.35561"","""","""","""","""","""","""","""","""","""",""116"",""13.32539"",""-81.37273"",""115"",""13.34072"",""-81.35561"",0.2,""JB Juhel"",""JB Juhel"",""Après echantillonnage. grosde pluie tropicale toute la journée et toute la nuit"",""site1"",""site1"",""site1"",""site1"",""site1"",""site3""";
"SPY181717,""YPVD08"",1,""04/07/2018"",""patch1"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:10"",""09:40"",""30"",40,""0"",NA,0,""marine"","""",""117"",""13.36541"",""-81.41025"","""","""","""","""","""","""","""","""","""",""118"",""13.38515"",""-81.39906"",""117"",""13.36541"",""-81.41025"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181715,""YPVD08"",2,""04/07/2018"",""patch1"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:10"",""09:40"",""30"",40,""0"",NA,0,""marine"","""",""117"",""13.36541"",""-81.41025"","""","""","""","""","""","""","""","""","""",""118"",""13.38515"",""-81.39906"",""117"",""13.36541"",""-81.41025"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181728,""YPVD09"",1,""04/07/2018"",""patch2"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:56"",""10:34"",""38"",40,""0"",NA,0,""marine"","""",""119"",""13.36726"",""-81.41335"","""","""","""","""","""","""","""","""","""",""121"",""13.34492"",""-81.41827"",""119"",""13.36726"",""-81.41335"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181722,""YPVD09"",2,""04/07/2018"",""patch2"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:56"",""10:34"",""38"",40,""0"",NA,0,""marine"","""",""119"",""13.36726"",""-81.41335"","""","""","""","""","""","""","""","""","""",""121"",""13.34492"",""-81.41827"",""119"",""13.36726"",""-81.41335"",0.2,""JB Juhel"",""JB Juhel"","""",""site1"",""site1"",""site1"",""site1"",""site1"",""site1""";
"SPY181716,""YPVD10"",1,""05/07/2018"",""patch3"",""providencia"",""Tropical_Northwestern_Atlantic"",""Columbia"",""megafauna"",""transect"",""transect_aller_retour"",""09:27"",""10:07"",""40"",40,""0"",NA,0,""marine"","""",""123"",""13.32225"",""-81.36716"","""","""","""","""","""","""","""","""","""",""124"",""13.33839"",""-81.35116"",""123"",""13.32225"",""-81.36716"",0.2,""JB Juhel"",""JB Juhel"",""Zigzag entre les patates au niveau barrière interne"",""site1"",""site1"",""site1"",""site1"",""site1"",""site3""";
