"","station","lat","long","site35","site30","site25","site20","site10","site5"
"68","profond_2_faka_0m",-16.525988,-145.450593,"site7","site7","site8","site9","site12","site20"
"69","profond_faka_200m",-16.531748,-145.455602,"site7","site7","site8","site9","site12","site20"
"70","profond_faka_150m",-16.531748,-145.455602,"site7","site7","site8","site9","site12","site20"
"71","profond_2_faka_200m",-16.525988,-145.450593,"site7","site7","site8","site9","site12","site20"
"72","profond_2_faka_100m",-16.525988,-145.450593,"site7","site7","site8","site9","site12","site20"
"73","profond_2_faka_50m",-16.525988,-145.450593,"site7","site7","site8","site9","site12","site20"
"74","faka_prof_2_150m",-16.525988,-145.450593,"site7","site7","site8","site9","site12","site20"
"75","faka_prof_2_200m",-16.525988,-145.450593,"site7","site7","site8","site9","site12","site20"
"76","faka_prof_2_100m",-16.525988,-145.450593,"site7","site7","site8","site9","site12","site20"
"77","faka_prof_2_50m",-16.525988,-145.450593,"site7","site7","site8","site9","site12","site20"
"78","estuaire_rio_don_diego_1",11.26593,-73.69206,"site8","site8","site9","site10","site13","site21"
"79","estuaire_rio_don_diego_2",11.2668,-73.702106,"site8","site8","site9","site10","site13","site21"
"80","estuaire_rio_don_diego_3",11.266771,-73.641601,"site8","site8","site9","site10","site13","site22"
"81","rio_don_diego1",11.257738,-73.704129,"site8","site8","site9","site10","site13","site21"
"82","rio_don_diego2",11.242452,-73.69688,"site8","site8","site9","site10","site13","site21"
"83","rio_don_diego3",11.226491,-73.697869,"site8","site8","site9","site10","site13","site21"
"84","santamarta_deep1_53m",11.312972,-73.780055,"site8","site8","site9","site10","site14","site23"
"85","santamarta_deep1_35m",11.312972,-73.780055,"site8","site8","site9","site10","site14","site23"
"86","santamarta_deep1_0m",11.312972,-73.780055,"site8","site8","site9","site10","site14","site23"
"87","santamarta_deep2_115m",11.347639,-73.766667,"site8","site8","site9","site10","site14","site23"
"88","santamarta_deep2_0m",11.347639,-73.766667,"site8","site8","site9","site10","site14","site23"
"89","santamarta_deep2_58m",11.347639,-73.766667,"site8","site8","site9","site10","site14","site23"
"90","tayrona_camera_1",11.337649,-74.110443,"site9","site9","site10","site11","site15","site24"
"91","tayrona_camera_2",11.328275,-74.114845,"site9","site9","site10","site11","site15","site24"
"92","tayrona_saturation_1",11.330775,-74.116304,"site9","site9","site10","site11","site15","site24"
"93","tayrona_saturation_2",11.340723,-74.112103,"site9","site9","site10","site11","site15","site24"
"94","tayrona_saturation_2",11.341963,-74.112686,"site9","site9","site10","site11","site15","site24"
"95","tayrona_camera_2",11.326676,-74.114275,"site9","site9","site10","site11","site15","site24"
"96","tayrona_saturation_1",11.330174,-74.115761,"site9","site9","site10","site11","site15","site24"
"97","tayrona_camera_2",11.328421,-74.114296,"site9","site9","site10","site11","site15","site24"
"98","taaf_station",-22.33944,40.33886,"site10","site10","site11","site12","site16","site25"
"99","europa_distance_0m",-22.33281,40.35581,"site10","site10","site11","site12","site16","site25"
"100","europa_distance_50m",-22.33078,40.36129,"site10","site10","site11","site12","site16","site25"
"101","europa_distance_300m",-22.32652,40.36433,"site10","site10","site11","site12","site16","site25"
"102","europa_distance_600m",-22.32454,40.36156,"site10","site10","site11","site12","site16","site25"
"103","europa_300m_surface",-22.33752,40.39666,"site10","site10","site11","site12","site16","site26"
"104","europa_300m_50m",-22.33752,40.39666,"site10","site10","site11","site12","site16","site26"
"105","europa_300m_100m",-22.33752,40.39666,"site10","site10","site11","site12","site16","site26"
"106","europa_300m_150m",-22.33752,40.39666,"site10","site10","site11","site12","site16","site26"
"107","europa_300m_200m",-22.33752,40.39666,"site10","site10","site11","site12","site16","site26"
"108","europa_1000m_surface",-22.33644,40.41177,"site10","site10","site11","site12","site16","site26"
"109","europa_1000m_500m",-22.33644,40.41177,"site10","site10","site11","site12","site16","site26"
"110","taaf_station2",-22.33879,40.33888,"site10","site10","site11","site12","site16","site25"
"111","canyon1_0m",-18.6225,41.77472,"site11","site11","site12","site13","site17","site27"
"112","canyon1_840m",-18.6225,41.77472,"site11","site11","site12","site13","site17","site27"
"113","seamount1_0m",-18.12441,42.04219,"site12","site12","site13","site14","site18","site28"
"114","seamount1_170m",-18.12441,42.04219,"site12","site12","site13","site14","site18","site28"
"115","seamount1_340m",-18.12441,42.04219,"site12","site12","site13","site14","site18","site28"
"116","juan_distance0",-17.038661,42.66956,"site13","site13","site14","site15","site19","site29"
"117","juan_distance1",-17.05547,42.67851,"site13","site13","site14","site15","site19","site29"
"118","juan_distance2",-17.03868,42.66977,"site13","site13","site14","site15","site19","site29"
"119","juan_distance3",-17.05712,42.67116,"site13","site13","site14","site15","site19","site29"
"120","juan_300m_0m",-17.023831,42.654805,"site13","site13","site14","site15","site19","site29"
"121","juan_300m_50m",-17.023831,42.654805,"site13","site13","site14","site15","site19","site29"
"122","juan_300m_100m",-17.023831,42.654805,"site13","site13","site14","site15","site19","site29"
"123","juan_300m_150m",-17.023831,42.654805,"site13","site13","site14","site15","site19","site29"
"124","juan_300m_200m",-17.023831,42.654805,"site13","site13","site14","site15","site19","site29"
"125","juan_300m_300m",-17.023831,42.654805,"site13","site13","site14","site15","site19","site29"
"126","juan_2",-17.02874,42.74781,"site13","site13","site14","site15","site19","site30"
"127","juan_mayotte_3000m_0m",-15.52306,42.53472,"site14","site14","site15","site16","site20","site31"
"128","juan_mayotte_3000m_3000m",-15.52306,42.53472,"site14","site14","site15","site16","site20","site31"
"129","glorieuse",-11.58652,47.28334,"site15","site15","site16","site17","site21","site32"
"130","glorieuse_distance_0m",-11.56444,47.29144,"site15","site15","site16","site17","site21","site32"
"131","glorieuse_distance_50m",-11.56593,47.28871,"site15","site15","site16","site17","site21","site32"
"132","glorieuse_distance_100m",-11.56503,47.28774,"site15","site15","site16","site17","site21","site32"
"133","glorieuse_distance_300m",-11.56269,47.28501,"site15","site15","site16","site17","site21","site32"
"134","glorieuse_300m_0m",-11.5581,47.2857,"site15","site15","site16","site17","site21","site32"
"135","glorieuse_300m_50m",-11.5581,47.2857,"site15","site15","site16","site17","site21","site32"
"136","glorieuse_300m_100m",-11.5581,47.2857,"site15","site15","site16","site17","site21","site32"
"137","glorieuse_300m_150m",-11.5581,47.2857,"site15","site15","site16","site17","site21","site32"
