"Province","richness","asymptote","rank"
"All",2116,2724,"MOTUs"
"Southeast_Polynesia",186,213,"MOTUs"
"Tropical_Northwestern_Atlantic",361,438,"MOTUs"
"Tropical_Southwestern_Pacific",843,1052,"MOTUs"
"Western_Coral_Triangle",1035,1336,"MOTUs"
"Western_Indian_Ocean",327,404,"MOTUs"
