"project_name","richness","asymptote","rank"
"All",54,58,"Order"
"Caribbean",36,38,"Order"
"Central_Indo_Pacific",49,55,"Order"
"Central_Pacific",27,29,"Order"
"South_West_Pacific",45,49,"Order"
"West_Indian",38,41,"Order"
