"","component","value","sd","percent"
"1","mean_alpha_station",64.2348059841047,27.6510433471226,7.24997810204342
"2","mean_beta_station",78.4811032401941,37.4045133183946,8.85791232959302
"3","mean_beta_site",177.171717171717,227.097423973749,19.9968078071916
"4","beta_region",567.333333333333,0,64.033107599699
