"","component","value","percent"
"1","mean_alpha_station",96.4468085106383,6.01664432380775
"2","mean_beta_station",153.960882316213,9.6045466198511
"3","mean_beta_site",240.462121212121,15.0007561579614
"4","beta_region",1112.13018796103,69.3780528983797
