"","scale","total","turnover","nestedness"
"1","inter-region",0.977516887879943,0.953392911325734,0.0241239765542084
"2","inter-site",0.888076842764669,0.84160756501182,0.0464692777528487
"3","inter-site",NA,NA,NA
"4","inter-site",0.947395275269146,0.914304712825202,0.0330905624439448
"5","inter-site",0.983603722190462,0.976540859320764,0.00706286286969795
"6","inter-site",0.982299134880179,0.972988798256005,0.00931033662417387
"7","inter-site",0.984221485413388,0.975111374793886,0.00911011061950111
"8","inter-site",0.971738588176603,0.959175584621482,0.0125630035551203
"9","inter-site",0.942670454545455,0.887186940966011,0.0554835135794438
"10","inter-site",0.992589337604717,0.990209939495628,0.00237939810908906
"11","inter-site",0.959859508278976,0.929639401934916,0.03022010634406
"12","inter-site",0.898102417468157,0.861042183622829,0.0370602338453282
"13","inter-site",0.847298117789921,0.814459609000369,0.0328385087895522
"14","inter-site",0.943769309989701,0.920708684286959,0.0230606257027423
"15","inter-site",0.920902566119359,0.877446873333841,0.0434556927855178
"16","inter-site",0.8785727987723,0.856169052488071,0.0224037462842291
"17","inter-site",0.55,0.470588235294118,0.0794117647058823
"18","inter-site",0.882082937638493,0.808925365478328,0.0731575721601654
"19","inter-site",0.967317604165301,0.942038423966135,0.0252791801991657
"20","inter-site",0.877458396369138,0.84073928430987,0.0367191120592674
"21","inter-site",0.702898550724638,0.619666048237477,0.0832325024871609
"22","inter-site",0.784471218206158,0.733884297520661,0.0505869206854968
"23","inter-site",0.959339494016058,0.948903441973804,0.0104360520422537
"24","inter-site",0.891699955614736,0.865267807840972,0.0264321477737641
"25","inter-site",0.770659238625812,0.732972972972973,0.0376862656528395
"26","inter-site",0.969621969825394,0.95558639833449,0.0140355714909042
"27","inter-site",0.909078535456649,0.884027777777778,0.0250507576788712
"28","inter-site",0.814940577249576,0.778004073319756,0.0369365039298199
"29","inter-site",0.872832369942196,0.856943799349745,0.015888570592452
"30","inter-site",0.875176636834668,0.851123595505618,0.0240530413290499
"31","inter-site",0.875833333333333,0.834260289210234,0.0415730441230997
"32","inter-site",0.827428571428571,0.792297111416781,0.0351314600117901
"33","inter-site",0.848558668290702,0.793580520199225,0.0549781480914772
"34","inter-site",0.94606821532049,0.937036377663047,0.00903183765744331
"35","inter-site",0.875193798449612,0.854166666666667,0.0210271317829457
"36","inter-site",0.75858123569794,0.674884437596302,0.0836967981016385
"37","inter-site",0.850961538461538,0.783216783216783,0.0677447552447552
"38","inter-site",0.875542691751085,0.810154525386313,0.0653881663647719
"39","inter-site",0.873045078196872,0.829207920792079,0.0438371574047929
"40","inter-site",0.757385854968666,0.731417244796829,0.0259686101718375
"41","inter-site",0.738970588235294,0.68859649122807,0.050374097007224
"42","inter-site",0.840909090909091,0.75,0.0909090909090909
"43","inter-site",0.989354958864006,0.98436570243968,0.00498925642432634
"44","inter-site",0.834589614740369,0.803384768541563,0.0312048461988055
"45","inter-site",0.949421771445437,0.929553778309291,0.0198679931361465
"46","inter-site",0.915460992907801,0.893381037567084,0.0220799553407173
"47","inter-site",0.677570093457944,0.61878453038674,0.0587855630712036
"48","inter-site",0.78524661719773,0.712616822429907,0.0726297947678237
"49","inter-site",0.799688635184224,0.714497041420118,0.0851915937641058
"50","inter-transect",NA,NA,NA
"51","inter-transect",0.333333333333333,0.166666666666667,0.166666666666667
"52","inter-transect",0.416666666666667,0.4,0.0166666666666667
