"","component","value","sd","percent"
"1","mean_alpha_station",74.7978723404255,47.8289019986047,6.72038385807956
"2","mean_beta_station",115.765446869307,95.1985449469718,10.4012081643582
"3","mean_beta_site",161.719696969697,253.024195625803,14.5300716055433
"4","beta_region",760.71698382057,0,68.3483363720189
