"","component","value","sd","percent"
"1","mean_alpha_station",8.7875,4.88784011733795,7.77654867256637
"2","mean_beta_station",12.0603968253968,7.98537637949187,10.672917544599
"3","mean_beta_site",22.6060606060606,21.1146679136076,20.0053633681952
"4","beta_region",69.5460425685426,0,61.5451704146394
