"step","Reads","MOTUs","Species"
"before",504457267,129387,472
"tenreads",504054564,7791,455
"blanks",504054564,7791,455
"fishonly",402717398,5950,448
"readlength",402714992,5946,448
"PCR_all",397958526,3182,401
"LULU",335310014,2175,387
"LULU_family",270437881,1505,387
