"region","site","motu","genus","family","mean_motu","sd_motu","mean_genus","sd_genus","mean_family","sd_family"
"South_West_Pacific","GATOPE",394,145,64,104.375,35.0344218488862,54.125,12.8889487546502,30.75,7.20614816865234
"South_West_Pacific","STVINCENT",455,147,61,105.222222222222,67.7454385508312,48.5555555555556,22.2941198027143,27.1111111111111,8.05363961889971
"South_West_Pacific","GOLONE",484,148,62,146.875,68.9605218326295,59.5,20.6674347015506,33.125,6.99872437356572
"South_West_Pacific","NEPOUI",477,146,63,139,66.4035283055695,60.375,25.2130210123941,32.125,9.23405962417707
"South_West_Pacific","NOUMEA",239,94,42,44.125,38.1180028707846,23.125,16.805080014261,16.25,9.11435288824328
"South_West_Pacific","BOURAIL",489,153,73,170.714285714286,47.454238608419,73,17.9443584449264,38.5714285714286,8.05930399925334
