"region","site","motu","family","mean_motu","sd_motu","mean_family","sd_family"
"West_Papua","nusa_ulan",542,84,148.272727272727,46.4953565618996,40.0909090909091,5.46725791333362
"West_Papua","pulau_venu",344,69,136,52.7967802048572,37.8,2.86356421265527
"West_Papua","triton_bay",291,62,82.7142857142857,13.4624698788185,32,3.91578004149024
"West_Papua","kitikiti",287,59,97,47.3919824442911,29.8,9.06642156531451
"West_Papua","cap_west",71,28,43.5,4.94974746830583,21,1.4142135623731
"West_Papua","channel_sorong",56,28,36,4.24264068711928,20.5,3.53553390593274
"West_Papua","pulau_pisang",129,36,73.5,24.7487373415292,25.5,6.36396103067893
"West_Papua","lobo",215,49,93.6666666666667,51.8105523357292,30.6666666666667,7.63762615825973
"West_Papua","tanjung_boi",198,56,96,26.0576284415908,37.3333333333333,8.32666399786453
"West_Papua","pulau_aiduma",167,48,69.6666666666667,21.4553800556721,30,7.21110255092798
"West_Papua","pulau_aiduma_ext",202,52,97.6666666666667,19.1398362932741,35,8.88819441731559
