P1_B3;181116_SND405_A_L001_AIMI-50;SPY180782;Malpelo;chond
P1_C3;181116_SND405_A_L001_AIMI-50;CMET0310;Malpelo;chond
P1_D3;181116_SND405_A_L001_AIMI-50;CEXT1210;Malpelo;chond
P1_E3;181116_SND405_A_L001_AIMI-50;CPCR_C3;Malpelo;chond
P1_A1;181102_SND405_A_L001_AIMI-48;SPY181533;Fakarava;mamm
P1_B1;181102_SND405_A_L001_AIMI-48;SPY181536;Fakarava;mamm
P1_C1;181102_SND405_A_L001_AIMI-48;SPY181541;Fakarava;mamm
P1_D1;181102_SND405_A_L001_AIMI-48;SPY181831;Fakarava;mamm
P1_E1;181102_SND405_A_L001_AIMI-48;SPY181832;Fakarava;mamm
P1_F1;181102_SND405_A_L001_AIMI-48;SPY181885;Fakarava;mamm
P1_G1;181102_SND405_A_L001_AIMI-48;SPY181886;Fakarava;mamm
P1_H1;181102_SND405_A_L001_AIMI-48;SPY181887;Fakarava;mamm
P1_A3;181102_SND405_A_L001_AIMI-48;SPY181888;Fakarava;mamm
P1_B3;181102_SND405_A_L001_AIMI-48;SPY181892;Fakarava;mamm
P1_C3;181102_SND405_A_L001_AIMI-48;CEXT2609;Fakarava;mamm
P1_D3;181102_SND405_A_L001_AIMI-48;SPY181895;Fakarava;mamm
P1_E3;181102_SND405_A_L001_AIMI-48;SPY181896;Fakarava;mamm
P1_F3;181102_SND405_A_L001_AIMI-48;SPY181899;Fakarava;mamm
P1_G3;181102_SND405_A_L001_AIMI-48;SPY181900;Fakarava;mamm
P1_H3;181102_SND405_A_L001_AIMI-48;SPY181902;Fakarava;mamm
P1_A5;181102_SND405_A_L001_AIMI-48;SPY181905;Fakarava;mamm
P1_B5;181102_SND405_A_L001_AIMI-48;SPY181906;Fakarava;mamm
P1_C5;181102_SND405_A_L001_AIMI-48;SPY181907;Fakarava;mamm
P1_D5;181102_SND405_A_L001_AIMI-48;SPY181909;Fakarava;mamm
P1_E5;181102_SND405_A_L001_AIMI-48;SPY181911;Fakarava;mamm
P1_F5;181102_SND405_A_L001_AIMI-48;SPY181912;Fakarava;mamm
P1_G5;181102_SND405_A_L001_AIMI-48;SPY181914;Fakarava;mamm
P1_H5;181102_SND405_A_L001_AIMI-48;SPY181915;Fakarava;mamm
P1_A7;181102_SND405_A_L001_AIMI-48;CPCR;Fakarava;mamm
P1_B7;181102_SND405_A_L001_AIMI-48;SPY181917;Fakarava;mamm
P1_C7;181102_SND405_A_L001_AIMI-48;SPY181918;Fakarava;mamm
P1_D7;181102_SND405_A_L001_AIMI-48;SPY181919;Fakarava;mamm
P1_E7;181102_SND405_A_L001_AIMI-48;SPY181920;Fakarava;mamm
