SurveyID;Station;SiteLat;SiteLong;Country;Ecoregion;Province;Realm;SurveyDate;Depth;site35;site30;site25;site20;site10;site5;Acanthuridae;Ambassidae;Anarhichadidae;Aplodactylidae;Apogonidae;Arripidae;Aulopidae;Aulostomidae;Balistidae;Batrachoididae;Belonidae;Berycidae;Blenniidae;Bothidae;Brachaeluridae;Bythitidae;Caesionidae;Callanthiidae;Callionymidae;Caracanthidae;Carangidae;Carcharhinidae;Centriscidae;Chaenopsidae;Chaetodontidae;Chanidae;Cheilodactylidae;Chironemidae;Cirrhitidae;Clinidae;Clupeidae;Congridae;Creediidae;Dasyatidae;Dinolestidae;Diodontidae;Echeneidae;Elopidae;Enoplosidae;Ephippidae;Fistulariidae;Gerreidae;Ginglymostomatidae;Glaucosomatidae;Gobiesocidae;Gobiidae;Grammatidae;Haemulidae;Hemiramphidae;Hemiscylliidae;Heterodontidae;Holocentridae;Hypnidae;Inermiidae;Kyphosidae;Labridae;Labrisomidae;Latidae;Latridae;Lethrinidae;Lutjanidae;Malacanthidae;Megalopidae;Microdesmidae;Mobulidae;Monacanthidae;Monocentridae;Monodactylidae;Moridae;Mugilidae;Mullidae;Muraenidae;Myliobatidae;Nemipteridae;Odacidae;Odontaspididae;Ophichthidae;Ophidiidae;Opistognathidae;Oplegnathidae;Orectolobidae;Ostraciidae;Paralichthyidae;Parascorpididae;Parascylliidae;Pempheridae;Pempherididae;Pentacerotidae;Percophidae;Pholidichthyidae;Pinguipedidae;Platycephalidae;Plesiopidae;Plotosidae;Pomacanthidae;Pomacentridae;Priacanthidae;Pseudochromidae;Ptereleotridae;Rhinobatidae;Scaridae;Sciaenidae;Scombridae;Scorpaenidae;Scyliorhinidae;Sebastidae;Serranidae;Siganidae;Sparidae;Sphyraenidae;Sphyrnidae;Squatinidae;Synanceiidae;Syngnathidae;Synodontidae;Terapontidae;Tetraodontidae;Trachichthyidae;Tripterygiidae;Urolophidae;Zanclidae
912343798;NWS32;-14.11;121.96;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-07T14:00:00Z;4;site164;site168;site185;site199;site260;site346;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
912343799;NWS33;-14.06;121.96;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-08T14:00:00Z;6;site164;site168;site185;site199;site260;site345;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
912343800;NWS34;-14.06;121.97;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-08T14:00:00Z;5;site164;site168;site185;site199;site260;site345;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
912343801;NWS35;-14.07;121.95;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-08T14:00:00Z;6;site164;site168;site185;site199;site260;site345;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1
912343802;NWS36;-14.07;121.79;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-09T14:00:00Z;8;site164;site168;site186;site200;site261;site347;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
912343803;NWS37;-14.05;121.78;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-09T14:00:00Z;6;site164;site168;site186;site200;site261;site347;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
912343804;NWS38;-14.07;121.78;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-09T14:00:00Z;5;site164;site168;site186;site200;site261;site347;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1
912343805;NWS39;-14.08;121.75;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-10T14:00:00Z;5;site164;site168;site186;site200;site261;site348;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
912343806;NWS40;-14.08;121.74;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-10T14:00:00Z;2;site164;site168;site186;site200;site261;site348;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
912343807;NWS41;-14.11;121.72;Australia;Exmouth to Broome;Northwest_Australian_Shelf;Central Indo-Pacific;2013-09-10T14:00:00Z;12;site164;site168;site186;site200;site261;site348;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0
