"species_name","class_name"
"Girella_leonina","Actinopteri"
"Girella_mezina","Actinopteri"
"Tinca_tinca","Actinopteri"
"Gnathopogon_elongatus","Actinopteri"
"Aphyocypris_chinensis","Actinopteri"
"Opsariichthys_uncirostris","Actinopteri"
"Nipponocypris_sieboldii","Actinopteri"
"Myxocyprinus_asiaticus","Actinopteri"
"Tonlesapia_tsukawakii","Actinopteri"
"Barbus_barbus","Actinopteri"
"Barbonymus_gonionotus","Actinopteri"
"Labeo_batesii","Actinopteri"
"Labeo_senegalensis","Actinopteri"
"Pethia_ticto","Actinopteri"
"Alburnus_alburnus","Actinopteri"
"Esomus_metallicus","Actinopteri"
"Gobio_gobio","Actinopteri"
"Pungtungia_herzi","Actinopteri"
"Pseudorasbora_pumila","Actinopteri"
"Enteromius_trimaculatus","Actinopteri"
"Acantopsis_choirorhynchos","Actinopteri"
"Chromobotia_macracanthus","Actinopteri"
"Gyrinocheilus_aymonieri","Actinopteri"
"Pseudohomaloptera_leonardi","Actinopteri"
"Minytrema_melanops","Actinopteri"
"Moxostoma_poecilurum","Actinopteri"
"Pangio_anguillaris","Actinopteri"
"Hypentelium_nigricans","Actinopteri"
"Misgurnus_nikolskyi","Actinopteri"
"Schistura_balteata","Actinopteri"
"Vaillantella_maassi","Actinopteri"
"Biwia_zezera","Actinopteri"
"Solea_senegalensis","Actinopteri"
"Solenostomus_cyanopterus","Actinopteri"
"Stylephorus_chordatus","Actinopteri"
"Lophiodes_caulinaris","Actinopteri"
"Sladenia_gardineri","Actinopteri"
"Antennarius_striatus","Actinopteri"
"Histrio_histrio","Actinopteri"
"Antennatus_coccineus","Actinopteri"
"Tetrabrachium_ocellatum","Actinopteri"
"Brachionichthys_hirsutus","Actinopteri"
"Chaunax_pictus","Actinopteri"
"Coelophrys_brevicaudata","Actinopteri"
"Zalieutes_elater","Actinopteri"
"Caulophryne_pelagica","Actinopteri"
"Neoceratias_spinifer","Actinopteri"
"Himantolophus_albinares","Actinopteri"
"Himantolophus_groenlandicus","Actinopteri"
"Oneirodes_thompsoni","Actinopteri"
"Puck_pinnata","Actinopteri"
"Chaenophryne_melanorhabdus","Actinopteri"
"Bertella_idiomorpha","Actinopteri"
"Thaumatichthys_pagidostomus","Actinopteri"
"Lasiognathus_sp._NMMBP_9030","Actinopteri"
"Centrophryne_spinulosa","Actinopteri"
"Cryptopsaras_couesii","Actinopteri"
"Ceratias_uranoscopus","Actinopteri"
"Gigantactis_vanhoeffeni","Actinopteri"
"Rhynchactis_macrothrix","Actinopteri"
"Haplophryne_mollis","Actinopteri"
"Hexagrammos_octogrammus","Actinopteri"
"Pagellus_bogaraveo","Actinopteri"
"Pomatomus_saltatrix","Actinopteri"
"Rachycentron_canadum","Actinopteri"
"Coryphaena_equiselis","Actinopteri"
"Coryphaena_hippurus","Actinopteri"
"Mene_maculata","Actinopteri"
"Gazza_minuta","Actinopteri"
"Nuchequula_nuchalis","Actinopteri"
"Lobotes_surinamensis","Actinopteri"
"Gerres_oyena","Actinopteri"
"Diagramma_picta","Actinopteri"
"Spicara_maena","Actinopteri"
"Lethrinus_obsoletus","Actinopteri"
"Nemipterus_bathybius","Actinopteri"
"Polydactylus_plebeius","Actinopteri"
"Polynemus_paradiseus","Actinopteri"
"Upeneus_tragula","Actinopteri"
"Pempheris_schwenkii","Actinopteri"
"Oryzias_sarasinorum","Actinopteri"
"Hyporhamphus_sajori","Actinopteri"
"Menidia_menidia","Actinopteri"
